date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2016/11/7,2276.95,6468.82,3356.59,1950.6
2016/11/8,2282.42,6503.18,3371.12,1967.74
2016/11/9,2263.92,6453.57,3353.05,1938.58
2016/11/10,2289.45,6536.97,3390.61,1956.95
2016/11/11,2308.43,6583.89,3417.22,1966.44
2016/11/14,2317.77,6615.01,3430.25,1983.6
2016/11/15,2310.9,6640.46,3429.87,2004.2
2016/11/16,2309.94,6644.19,3429.59,2001.43
2016/11/17,2316.72,6636.47,3436.53,1978.49
2016/11/18,2307.27,6602.33,3417.46,1974.02
2016/11/21,2334.68,6611.54,3441.11,1967.88
2016/11/22,2353,6661.25,3468.36,1998.6
2016/11/23,2360.34,6631.17,3474.73,1990.31
2016/11/24,2368.73,6623.05,3488.74,1971.7
2016/11/25,2393.95,6652.82,3521.3,1995.84
2016/11/28,2403.14,6670.8,3535.08,1992.59
2016/11/29,2441.58,6620.79,3564.04,1994.42
2016/11/30,2419.41,6585.58,3538,2019.94
2016/12/1,2431.31,6624.47,3565.04,2014.95
2016/12/2,2416.51,6520.97,3528.95,1976.38
2016/12/5,2375.26,6486.02,3469.41,1970.15
2016/12/6,2368.68,6490.89,3459.15,1935.62
2016/12/7,2376.92,6558.02,3475.75,1948.77
2016/12/8,2379,6527.43,3470.14,1925.94
2016/12/9,2411.31,6513.92,3493.7,1911.64
2016/12/12,2387.16,6249.08,3409.18,1799.4
2016/12/13,2372.93,6278.18,3405.04,1799.65
2016/12/14,2360.38,6239.5,3378.95,1781.72
2016/12/15,2309.82,6280.4,3340.43,1797.29
2016/12/16,2302.32,6318.52,3346.03,1820.59
2016/12/19,2291.38,6320.73,3328.98,1802.31
2016/12/20,2279.68,6300.64,3309.06,1808.1
2016/12/21,2297.37,6347.61,3338.54,1813.15
2016/12/22,2292.04,6341.79,3335.67,1806.06
2016/12/23,2278.48,6282,3307.6,1784.51
2016/12/26,2294.71,6294.75,3322.4,1788.94
2016/12/27,2286.96,6288.86,3316.39,1782.39
2016/12/28,2277.18,6270.24,3301.89,1771.04
2016/12/29,2275.11,6252.61,3297.76,1773.23
2016/12/30,2286.9,6263.63,3310.08,1775.13
2017/1/3,2307.89,6320.76,3342.23,1781.33
2017/1/4,2322.21,6394.67,3368.31,1812.38
2017/1/5,2322.68,6399.28,3367.79,1804.7
2017/1/6,2308.94,6371.62,3347.67,1781.03
2017/1/9,2318.34,6415.42,3363.9,1783.72
2017/1/10,2312.6,6393.93,3358.27,1772.3
2017/1/11,2300.47,6331.96,3334.5,1759.19
2017/1/12,2295.4,6272.85,3317.62,1748.05
2017/1/13,2308.06,6194.66,3319.91,1718.99
2017/1/16,2337.39,6031.24,3319.45,1635.88
2017/1/17,2329.59,6082.07,3326.36,1685.75
2017/1/18,2342.78,6068.59,3339.37,1660.95
2017/1/19,2334.96,6043.68,3329.29,1662.47
2017/1/20,2347.18,6122,3354.89,1698.54
2017/1/23,2347.1,6172.17,3364.08,1702.59
2017/1/24,2352.42,6165.26,3364.45,1672.46
2017/1/25,2358.7,6179.57,3375.9,1678.58
2017/1/26,2364.02,6223.71,3387.96,1691.87
2017/2/3,2339.99,6207.09,3364.49,1684.31
2017/2/6,2343.97,6259.25,3373.21,1706.43
2017/2/7,2337.53,6255.93,3365.68,1692.65
2017/2/8,2346.43,6291.6,3383.29,1708.45
2017/2/9,2354.9,6331.18,3396.29,1720.26
2017/2/10,2368.18,6337.11,3413.49,1711.1
